iter	Passed	Remaining
0	49	49414
1	51	25537
2	52	17387
3	53	13367
4	54	10908
5	55	9127
6	55	7854
7	55	6898
8	55	6152
9	56	5555
10	56	5067
11	56	4660
12	56	4316
13	57	4020
14	57	3765
15	57	3540
16	57	3343
17	58	3167
18	58	3010
19	58	2869
20	58	2740
21	59	2624
22	59	2517
23	59	2420
24	59	2330
25	60	2247
26	60	2171
27	60	2099
28	60	2033
29	60	1971
30	61	1912
31	61	1858
32	61	1807
33	61	1759
34	62	1733
35	63	1689
36	63	1648
37	63	1609
38	63	1572
39	64	1537
40	64	1503
41	64	1471
42	64	1441
43	64	1412
44	65	1384
45	65	1358
46	65	1332
47	65	1308
48	66	1285
49	66	1262
50	66	1241
51	66	1220
52	67	1200
53	67	1181
54	67	1162
55	67	1145
56	68	1127
57	68	1110
58	68	1094
59	68	1079
60	69	1065
61	69	1051
62	69	1037
63	70	1024
64	70	1011
65	70	999
66	70	986
67	70	972
68	71	960
69	71	949
70	71	937
71	71	926
72	72	916
73	72	906
74	72	896
75	72	886
76	73	877
77	73	868
78	73	858
79	73	849
80	74	842
81	74	833
82	74	825
83	74	817
84	75	808
85	75	801
86	75	792
87	75	785
88	76	778
89	76	770
90	76	764
91	76	757
92	77	751
93	77	745
94	77	739
95	77	733
96	78	727
97	78	720
98	78	715
99	78	709
100	79	704
101	79	697
102	79	692
103	79	687
104	80	682
105	80	677
106	80	672
107	80	667
108	81	662
109	81	657
110	81	653
111	81	648
112	82	644
113	82	640
114	82	636
115	82	632
116	83	628
117	83	624
118	83	619
119	83	615
120	84	611
121	84	607
122	84	602
123	84	599
124	85	595
125	85	591
126	85	587
127	85	583
128	86	581
129	86	578
130	86	575
131	86	571
132	87	568
133	87	564
134	87	561
135	87	558
136	88	555
137	88	552
138	88	549
139	88	546
140	89	543
141	89	540
142	89	537
143	89	534
144	90	531
145	90	529
146	90	526
147	90	523
148	91	521
149	91	518
150	91	515
151	91	512
152	92	510
153	92	507
154	92	505
155	92	502
156	93	500
157	93	498
158	93	496
159	94	494
160	94	492
161	94	489
162	94	487
163	95	485
164	95	482
165	95	480
166	95	478
167	96	476
168	96	474
169	96	472
170	97	470
171	97	468
172	97	466
173	97	464
174	98	462
175	98	460
176	98	458
177	98	456
178	99	454
179	99	452
180	99	449
181	99	448
182	99	446
183	100	444
184	100	442
185	100	440
186	100	438
187	101	436
188	101	434
189	101	432
190	101	430
191	102	429
192	102	427
193	102	426
194	102	425
195	103	423
196	103	421
197	103	420
198	103	418
199	104	416
200	104	414
201	104	413
202	104	411
203	105	410
204	105	409
205	105	407
206	106	406
207	106	405
208	106	403
209	106	402
210	107	400
211	107	398
212	107	397
213	107	395
214	107	394
215	108	392
216	108	391
217	108	390
218	109	388
219	109	387
220	109	386
221	109	384
222	109	383
223	110	381
224	110	380
225	110	379
226	110	377
227	111	376
228	111	375
229	111	373
230	111	372
231	112	371
232	112	369
233	112	368
234	112	367
235	113	365
236	113	364
237	113	363
238	113	362
239	114	361
240	114	359
241	114	358
242	114	357
243	115	356
244	115	355
245	115	354
246	115	352
247	115	351
248	116	350
249	116	349
250	116	348
251	117	347
252	117	346
253	117	345
254	117	343
255	117	342
256	118	341
257	118	340
258	118	339
259	118	338
260	119	337
261	119	336
262	119	335
263	119	334
264	120	333
265	120	332
266	120	331
267	120	330
268	121	329
269	121	328
270	121	327
271	121	326
272	122	325
273	122	324
274	122	323
275	123	322
276	123	321
277	123	320
278	123	319
279	123	318
280	124	317
281	124	316
282	124	316
283	125	315
284	125	314
285	125	313
286	125	312
287	126	311
288	126	310
289	126	309
290	126	308
291	126	307
292	127	307
293	127	306
294	127	305
295	128	304
296	128	303
297	128	302
298	128	302
299	129	301
300	129	300
301	129	299
302	129	298
303	130	297
304	130	296
305	130	296
306	130	295
307	131	294
308	131	293
309	131	292
310	131	292
311	132	291
312	132	290
313	132	289
314	132	288
315	133	288
316	133	287
317	133	286
318	133	285
319	134	284
320	134	284
321	134	283
322	134	282
323	135	281
324	135	281
325	135	280
326	135	279
327	136	278
328	136	277
329	136	277
330	136	276
331	137	275
332	137	274
333	137	274
334	137	273
335	137	272
336	138	271
337	138	271
338	138	270
339	138	269
340	139	268
341	139	268
342	139	267
343	139	266
344	140	266
345	140	265
346	140	264
347	140	263
348	141	263
349	141	262
350	141	261
351	141	260
352	141	260
353	142	259
354	142	258
355	142	258
356	143	257
357	143	256
358	143	256
359	143	255
360	143	254
361	144	254
362	144	253
363	144	252
364	144	252
365	145	251
366	145	250
367	145	250
368	145	249
369	146	248
370	146	248
371	146	247
372	146	246
373	147	246
374	147	245
375	147	245
376	147	244
377	148	243
378	148	243
379	148	242
380	148	241
381	149	241
382	149	240
383	149	239
384	149	239
385	150	238
386	150	238
387	150	237
388	150	236
389	151	236
390	151	235
391	151	235
392	151	234
393	152	233
394	152	233
395	152	232
396	152	231
397	152	231
398	153	230
399	153	230
400	153	229
401	153	229
402	154	228
403	154	227
404	154	227
405	154	226
406	155	225
407	155	225
408	155	224
409	155	224
410	156	223
411	156	223
412	156	222
413	156	222
414	157	221
415	157	220
416	157	220
417	157	219
418	158	219
419	158	218
420	158	218
421	158	217
422	159	217
423	159	216
424	159	215
425	159	215
426	160	214
427	160	214
428	160	213
429	160	213
430	161	212
431	161	212
432	161	211
433	161	210
434	162	210
435	162	209
436	162	209
437	162	208
438	162	208
439	163	207
440	163	207
441	163	206
442	163	206
443	164	205
444	164	205
445	164	204
446	164	204
447	165	203
448	165	202
449	165	202
450	165	201
451	166	201
452	166	200
453	166	200
454	166	199
455	167	199
456	167	198
457	167	198
458	167	197
459	168	197
460	168	196
461	168	196
462	169	196
463	169	195
464	169	195
465	169	194
466	169	193
467	170	193
468	170	193
469	170	192
470	171	192
471	171	191
472	171	191
473	171	190
474	172	190
475	172	189
476	172	189
477	172	188
478	173	188
479	173	187
480	173	187
481	173	186
482	174	186
483	174	185
484	174	185
485	174	184
486	175	184
487	175	183
488	175	183
489	175	182
490	175	182
491	176	181
492	176	181
493	176	181
494	176	180
495	177	180
496	177	179
497	177	179
498	178	178
499	178	178
500	178	177
501	178	177
502	178	176
503	179	176
504	179	175
505	179	175
506	179	174
507	180	174
508	180	174
509	180	173
510	180	173
511	181	172
512	181	172
513	181	171
514	181	171
515	182	170
516	182	170
517	182	169
518	182	169
519	183	169
520	183	168
521	183	168
522	183	167
523	184	167
524	184	166
525	184	166
526	184	165
527	185	165
528	185	165
529	185	164
530	185	164
531	186	163
532	186	163
533	186	162
534	186	162
535	187	161
536	187	161
537	187	161
538	187	160
539	187	160
540	188	159
541	188	159
542	188	158
543	189	158
544	189	158
545	189	157
546	189	157
547	189	156
548	190	156
549	190	155
550	190	155
551	190	154
552	191	154
553	191	154
554	191	153
555	191	153
556	192	152
557	192	152
558	192	151
559	192	151
560	193	151
561	193	150
562	193	150
563	193	149
564	194	149
565	194	148
566	194	148
567	194	148
568	195	147
569	195	147
570	195	146
571	195	146
572	195	146
573	196	145
574	196	145
575	196	144
576	196	144
577	197	143
578	197	143
579	197	143
580	197	142
581	198	142
582	198	141
583	198	141
584	198	141
585	199	140
586	199	140
587	199	139
588	199	139
589	200	139
590	200	138
591	200	138
592	200	137
593	201	137
594	201	137
595	201	136
596	202	136
597	202	135
598	202	135
599	202	135
600	202	134
601	203	134
602	203	134
603	203	133
604	204	133
605	204	132
606	204	132
607	204	132
608	205	131
609	205	131
610	205	130
611	205	130
612	206	130
613	206	129
614	206	129
615	206	129
616	207	128
617	207	128
618	207	127
619	207	127
620	208	127
621	208	126
622	208	126
623	208	125
624	209	125
625	209	125
626	209	124
627	209	124
628	210	124
629	210	123
630	210	123
631	210	122
632	211	122
633	211	122
634	211	121
635	212	121
636	212	121
637	212	120
638	212	120
639	213	119
640	213	119
641	213	119
642	214	118
643	214	118
644	214	118
645	214	117
646	215	117
647	215	116
648	215	116
649	215	116
650	216	115
651	216	115
652	216	115
653	216	114
654	217	114
655	217	113
656	217	113
657	217	113
658	218	112
659	218	112
660	218	112
661	219	111
662	219	111
663	219	111
664	219	110
665	219	110
666	220	109
667	220	109
668	220	109
669	220	108
670	221	108
671	221	108
672	221	107
673	221	107
674	222	106
675	222	106
676	222	106
677	222	105
678	223	105
679	223	105
680	223	104
681	223	104
682	224	104
683	224	103
684	224	103
685	224	102
686	225	102
687	225	102
688	225	101
689	226	101
690	226	101
691	226	100
692	226	100
693	227	100
694	227	99
695	227	99
696	227	99
697	227	98
698	228	98
699	228	97
700	228	97
701	229	97
702	229	96
703	229	96
704	229	96
705	229	95
706	230	95
707	230	95
708	230	94
709	230	94
710	231	94
711	231	93
712	231	93
713	232	92
714	232	92
715	232	92
716	232	91
717	233	91
718	233	91
719	233	90
720	233	90
721	234	90
722	234	89
723	234	89
724	234	89
725	235	88
726	235	88
727	235	88
728	235	87
729	236	87
730	236	87
731	236	86
732	236	86
733	237	85
734	237	85
735	237	85
736	237	84
737	238	84
738	238	84
739	238	83
740	238	83
741	239	83
742	239	82
743	239	82
744	239	82
745	240	81
746	240	81
747	240	81
748	240	80
749	241	80
750	241	80
751	241	79
752	242	79
753	242	79
754	242	78
755	242	78
756	243	78
757	243	77
758	243	77
759	243	77
760	244	76
761	244	76
762	244	75
763	244	75
764	245	75
765	245	74
766	245	74
767	245	74
768	246	73
769	246	73
770	246	73
771	246	72
772	247	72
773	247	72
774	247	71
775	247	71
776	248	71
777	248	70
778	248	70
779	248	70
780	249	69
781	249	69
782	249	69
783	249	68
784	249	68
785	250	68
786	250	67
787	250	67
788	250	67
789	251	66
